Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A792716,"CIRCUIT OF AMERICAS 78617
(30.157123, -97.611102)",TRUE,4/14/2019,Dog,Chihuahua Shorthair Mix,White/Black,Intact Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792716
A792720,"1402 MEADOWMEAR
AUSTIN 78753
(30.359682, -97.672003)",FALSE,4/14/2019,Dog,Labrador Retriever Mix,Red/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792720
A792721,"11511 NORTH OAKS DRIVE
AUSTIN 78753
(30.381327, -97.673154)",TRUE,4/14/2019,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792721
A792722,"12118 WALNUT PARK
AUSTIN 78753
(30.39307, -97.676452)",TRUE,4/14/2019,Dog,Labrador Retriever Mix,Black/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792722
A792723,"12118 WALNUT PARK
AUSTIN 78753
(30.39307, -97.676452)",TRUE,4/14/2019,Dog,Labrador Retriever Mix,Black/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792723
A792725,"7405 CARISSA COVE
AUSTIN 78759
(30.415409, -97.776047)",TRUE,4/14/2019,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792725
A792726,"7405 CARISSA COVE
AUSTIN 78759
(30.415409, -97.776047)",TRUE,4/14/2019,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792726
A792704,"3604 SAVAGE SPRINGS DRIVE
AUSTIN 78754
(30.359403, -97.639093)",TRUE,4/14/2019,Dog,Beagle/American Foxhound,Black/Brown,Unknown,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792704
A792713,2955 HIGHWAY78617,TRUE,4/14/2019,Cat,Domestic Shorthair Mix,Black,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792713
A792727,"7405 CARISSA COVE
AUSTIN 78759
(30.415409, -97.776047)",TRUE,4/14/2019,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792727
A792728,"7405 CARISSA COVE
AUSTIN 78759
(30.415409, -97.776047)",TRUE,4/14/2019,Cat,Siamese Mix,Flame Point,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792728
A792730,"FLETCHER LANE AUSTIN 78704
(30.243217, -97.76448)",FALSE,4/14/2019,Dog,Siberian Husky Mix,Red/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792730
A710225,"SOUTH HERSEY DIVE AUSTIN 78744
(30.186349, -97.738673)",TRUE,4/14/2019,Dog,Pomeranian Mix,Buff/White,Spayed Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A710225
A744019,"WOODHUE DRIVE AUSTIN 78745
(30.206782, -97.798214)",FALSE,4/14/2019,Cat,Domestic Shorthair Mix,Blue/White,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A744019
A792733,"7316 FIREFLY DRIVE
AUSTIN 78744
(30.16988, -97.74963)",FALSE,4/14/2019,Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792733
A792734,"2627 BARTON HILLS DRIVE
AUSTIN 78704
(30.250468, -97.795274)",FALSE,4/14/2019,Dog,Irish Setter/German Shorthair Pointer,Red,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792734
A792735,"106 BRUSHY CREEK TRAIL
PFLUGERVILLE 78634
(30.491995, -97.535981)",FALSE,4/14/2019,Dog,Black Mouth Cur Mix,Brown Brindle/White,Intact Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792735
A792736,"9705 WILLERS WAY
AUSTIN 78748
(30.178183, -97.83001)",FALSE,4/14/2019,Cat,Domestic Longhair Mix,White/Silver,Intact Female,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792736
A700551,"1106 REINLI STREET
AUSTIN 78723
(30.316452, -97.702912)",TRUE,4/15/2019,Dog,Pointer/Pit Bull,Blue/White,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A700551
A775940,"SOUTH PLEASANT VALLEY ROAD
AUSTIN 78744",TRUE,4/15/2019,Dog,Plott Hound/Labrador Retriever,Brown Brindle/White,Neutered Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A775940
A792746,"4505 MAGIN MEADOW DRIVE
AUSTIN 78744
(30.178706, -97.75814)",TRUE,4/15/2019,Dog,Australian Terrier/Standard Schnauzer,Sable/Tan,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792746
A792737,"2810 W PARMER LANE
AUSTIN 78727",TRUE,4/14/2019,Dog,Pointer Mix,White/Brown,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792737
A792310,"AUSTIN 78757
(30.349869, -97.732706)",FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A792310
A792749,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Black,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792749
A792750,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Black,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792750
