Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A792544,"AUSTIN 78702
(30.264271, -97.71608)",TRUE,4/12/2019,Cat,Domestic Medium Hair Mix,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792544
A792549,"8005 SEELING DRIVE
AUSTIN 78744
(30.203418, -97.688709)",TRUE,4/12/2019,Dog,German Shepherd Mix,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792549
A792550,"8005 SEELING DRIVE
AUSTIN 78744
(30.203418, -97.688709)",TRUE,4/12/2019,Dog,German Shepherd Mix,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792550
A792551,"8005 SEELING DRIVE
AUSTIN 78744
(30.203418, -97.688709)",TRUE,4/12/2019,Dog,German Shepherd Mix,Tan/Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792551
A792563,"12349 METRIC BOULEVARD
AUSTIN 78758
(30.410374, -97.695828)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792563
A792564,"12349 METRIC BOULEVARD
AUSTIN 78758
(30.410374, -97.695828)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792564
A792513,"WALNUT PARK AUSTIN 78753
(30.378511, -97.675352)",FALSE,4/11/2019,Dog,Labrador Retriever/Pit Bull,Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792513
A792514,"WALNUT PARK AUSTIN 78753
(30.378511, -97.675352)",FALSE,4/11/2019,Dog,Labrador Retriever/Pit Bull,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792514
A792515,"WALNUT PARK AUSTIN 78753
(30.378511, -97.675352)",FALSE,4/11/2019,Dog,Labrador Retriever/Pit Bull,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792515
A792552,"1303 BARONETS TRAIL
AUSTIN 78753
(30.384213, -97.659333)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Torbie/White,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792552
A769343,"1301 CROSSING PLACE
AUSTIN 78741
(30.236641, -97.713931)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Blue,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A769343
A792448,"9302 S 1ST ST
AUSTIN 78748
(30.169864, -97.801524)",FALSE,4/10/2019,Cat,Snowshoe Mix,Seal Point,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792448
A792511,"5555 EL MOLINO CIR
AUSTIN 78617
(30.172639, -97.627882)",TRUE,4/12/2019,Cat,Domestic Medium Hair Mix,Orange/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792511
A792589,"SOUTH SLAUGHTER LANE
AUSTIN 78748",TRUE,4/12/2019,Dog,Papillon/Dachshund,Cream,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792589
A792583,"6501 WEST WILLIAM CANNON DRIVE
AUSTIN 78735
(30.235531, -97.865328)",TRUE,4/12/2019,Cat,Domestic Medium Hair Mix,Torbie,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792583
A792590,"2025 EAST 7TH STREET
AUSTIN 78702
(30.261891, -97.719376)",TRUE,4/12/2019,Dog,Labrador Retriever Mix,Chocolate/Tan,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792590
A792591,"2025 EAST 7TH STREET
AUSTIN 78702
(30.261891, -97.719376)",TRUE,4/12/2019,Dog,Labrador Retriever Mix,Tan,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792591
A792482,"7418 VINTAGE HILLS DRIVE
AUSTIN 78723
(30.319496, -97.666497)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Calico,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792482
A792483,"7418 VINTAGE HILLS DRIVE
AUSTIN 78723
(30.319496, -97.666497)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Tortie,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792483
A792579,"9708 MANCHACA ROAD
AUSTIN 78748
(30.175293, -97.823033)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792579
A792580,"9708 MANCHACA ROAD
AUSTIN 78748
(30.175293, -97.823033)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792580
A792581,"9708 MANCHACA ROAD
AUSTIN 78748
(30.175293, -97.823033)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Cream Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792581
A792603,"AUSTIN 78726
(30.431233, -97.838431)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792603
A792605,"AUSTIN 78726
(30.431233, -97.838431)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792605
A792606,"AUSTIN 78726
(30.431233, -97.838431)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792606
A792607,"AUSTIN 78726
(30.431233, -97.838431)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792607
A792612,"5315 WESTMINSTER DRIVE
AUSTIN 78723
(30.301766, -97.686587)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Black/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792612
A792593,30 AND HIGHWAY78617,FALSE,4/12/2019,Dog,Labrador Retriever Mix,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792593
A792613,"280 DRY CREEK RD MANOR78753
(30.169486, -97.990934)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,White/Gray,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792613
A792620,"8101 LULING LANE
AUSTIN 78729
(30.456757, -97.759692)",FALSE,4/12/2019,Dog,Siberian Husky,Gray/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792620
A792621,"13200 MARIE LANE MANOR78653
(30.352148, -97.532724)",FALSE,4/12/2019,Dog,Australian Cattle Dog Mix,Black/Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792621
A792622,"6007 KIDNEYWOOD TRAIL
AUSTIN 78735
(30.250138, -97.881822)",TRUE,4/12/2019,Dog,Rhod Ridgeback Mix,Brown/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792622
A792619,"2300 MISSION HILL DRIVE
AUSTIN 78741
(30.216838, -97.737391)",TRUE,4/12/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792619
A790108,"12507 SCISSORTAIL DRIVE
AUSTIN 78652
(30.133512, -97.830408)",FALSE,4/12/2019,Dog,Labrador Retriever Mix,Black/White,Spayed Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A790108
A792623,"3500 GREYSTONE DRIVE
AUSTIN 78731
(30.358068, -97.749568)",FALSE,4/12/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792623
A744193,"BURNET ROAD
AUSTIN 78759",TRUE,4/13/2019,Dog,Cairn Terrier Mix,Tan/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A744193
A541497,"7224 BLACK PANDA TRAIL78617
(30.15489, -97.643876)",TRUE,4/13/2019,Dog,Pit Bull Mix,White/Brown,Spayed Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A541497
A792634,"NACHEZ TRAIL 78734
(30.377001, -97.952751)",TRUE,4/13/2019,Dog,Australian Shepherd Mix,Blue Merle/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792634
A792639,"6725 CIRCLE S ROAD
AUSTIN 78745
(30.190891, -97.778041)",TRUE,4/13/2019,Dog,Chihuahua Shorthair Mix,Cream/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792639
A792645,"ASPEN GLEN DRIVE AUSTIN 78744
(30.186349, -97.738673)",TRUE,4/13/2019,Dog,Miniature Poodle Mix,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792645
A792646,"9100 EVELYN ROAD78610
(30.06663, -97.681258)",TRUE,4/13/2019,Cat,Domestic Shorthair Mix,Black/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792646
A792638,"BYERS LANE
AUSTIN 78753",TRUE,4/13/2019,Dog,Pug/Beagle,Brown Brindle/White,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792638
A792640,"8502 MAINE DRIVE
AUSTIN 78758
(30.357116, -97.711379)",TRUE,4/13/2019,Dog,Pit Bull Mix,Blue/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792640
A792649,"AUSTIN 78741
(30.227985, -97.716971)",TRUE,4/13/2019,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792649
A792650,"6307 BLUFF SPRINGS ROAD
AUSTIN 78744
(30.191444, -97.765715)",TRUE,4/13/2019,Dog,Labrador Retriever Mix,Black/White,Spayed Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792650
A792651,"12138 NORTH LAMAR
AUSTIN 78753
(30.398419, -97.679479)",TRUE,4/13/2019,Dog,Siberian Husky,Red/Tan,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792651
A792641,183 AUSTIN78759,TRUE,4/13/2019,Dog,Anatolian Shepherd/German Shepherd,Black/Brown,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792641
A792642,183 AUSTIN78728,TRUE,4/13/2019,Dog,Anatolian Shepherd/German Shepherd,Black/Brown,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792642
A792643,183 AUSTIN78759,TRUE,4/13/2019,Dog,Anatolian Shepherd/German Shepherd,Brown/Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792643
A792658,"2131 WILLIAM BARTON DRIVE
AUSTIN 78746
(30.265038, -97.770184)",TRUE,4/13/2019,Dog,Chihuahua Shorthair Mix,Red,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792658
